Area,Sample Site,Sample URL,Domain
岡山県,おかやま全県統合型GIS,http://www.gis.pref.okayama.jp/pref-okayama/Portal,http://www.gis.pref.okayama.jp
岡山市,岡山市地図情報,http://www.gis.pref.okayama.jp/okayamacity-sp/,http://www.gis.pref.okayama.jp
岡山市,ハザードマップ,https://www.city.okayama.jp/kurashi/category/1-2-1-0-0-0-0-0-0-0.html,https://www.city.okayama.jp
玉野市,地域防災ハザードマップ（津波・土砂災害）,https://www.city.tamano.lg.jp/site/bousai/1499.html,https://www.city.tamano.lg.jp
吉備中央町,吉備中央町防災ハザードマップ,https://www.okayama-ebooks.jp/?post_type=bookinfo&p=17117,https://www.okayama-ebooks.jp
備前市,備前市統合型GIS,http://www.gis.pref.okayama.jp/bizen/Portal,http://www.gis.pref.okayama.jp
備前市,ハザードマップ,https://www.city.bizen.okayama.jp/site/bosai/4319.html,https://www.city.bizen.okayama.jp
瀬戸内市,瀬戸内市統合型GIS,http://www.gis.pref.okayama.jp/setouchi/Portal,http://www.gis.pref.okayama.jp
瀬戸内市,防災ハザードマップ（令和2年3月）,https://www.city.setouchi.lg.jp/soshiki/3/3870.html,https://www.city.setouchi.lg.jp
赤磐市,災害ハザードマップ,https://www.city.akaiwa.lg.jp/kurashi/bosai/hazard/index.html,https://www.city.akaiwa.lg.jp
和気町,防災マップ,https://www.town.wake.lg.jp/kurashiKosodate/bousaiSaigai/bousaiMap,https://www.town.wake.lg.jp
倉敷市,倉敷市統合型GIS,http://www.gis.pref.okayama.jp/kurashiki/PositionSelect?pl=3&mid=5032,http://www.gis.pref.okayama.jp
倉敷市,ハザードマップ,https://www.city.kurashiki.okayama.jp/1870.htm,https://www.city.kurashiki.okayama.jp
総社市,総社市統合型GIS,http://www.gis.pref.okayama.jp/soja-sp,http://www.gis.pref.okayama.jp
総社市,洪水・土砂災害ハザードマップ（令和２年３月発行）,https://www.city.soja.okayama.jp/kikikanri/kurashi/bousai/bousaitaisaku/kouzuidosyasaigai_map_h2409.html,https://www.city.soja.okayama.jp
早島町,早島町地図情報提供サービス,http://www.gis.pref.okayama.jp/hayashima/Portal,http://www.gis.pref.okayama.jp
早島町,防災情報,http://www.town.hayashima.lg.jp/moshimonotoki/1455954573087.html,http://www.town.hayashima.lg.jp
笠岡市,笠岡市総合ハザードマップ,https://www.city.kasaoka.okayama.jp/soshiki/10/33421.html,https://www.city.kasaoka.okayama.jp
井原市,井原市統合型GIS,http://www.gis.pref.okayama.jp/ibara/Portal,http://www.gis.pref.okayama.jp
井原市,井原市防災マップ,http://www.city.ibara.okayama.jp/docs/2016102600022/,http://www.city.ibara.okayama.jp
浅口市,おかやま全県統合型GIS,http://www.gis.pref.okayama.jp/asakuchi/Portal,http://www.gis.pref.okayama.jp
浅口市,防災マップ,http://www.city.asakuchi.lg.jp/kurashi/bosai/map/,http://www.city.asakuchi.lg.jp
里庄町,里庄町防災マップ,https://www.town.satosho.okayama.jp/soshiki/2/5117.html,https://www.town.satosho.okayama.jp
矢掛町,矢掛町ハザードマップ,http://www.town.yakage.okayama.jp/life/bosai/bousai.html,http://www.town.yakage.okayama.jp
高梁市,高梁市防災マップで危険箇所をチェックしましょう,https://www.city.takahashi.lg.jp/soshiki/102/bousaimappu.html,https://www.city.takahashi.lg.jp
真庭市,真庭市防災マップ,https://www.city.maniwa.lg.jp/soshiki/2/41431.html,https://www.city.maniwa.lg.jp
吉備中央町,防災情報,https://www.town.kibichuo.lg.jp/soshiki/2/188.html,https://www.town.kibichuo.lg.jp
新見市,新見まちかどマップ,http://www.gis.pref.okayama.jp/niimi/Portal,http://www.gis.pref.okayama.jp
新見市,パンフレット,http://niimi.gr.jp/pages/pamphlet/index.html,http://niimi.gr.jp
新見市,新見市防災マップ,https://www.city.niimi.okayama.jp/kurashi/kurashi_detail/index/101.html,https://www.city.niimi.okayama.jp
津山市,きらきらつやまっぷ,http://www.gis.pref.okayama.jp/tsuyama/Portal,http://www.gis.pref.okayama.jp
津山市,津山市防災ハザードマップ,https://www.city.tsuyama.lg.jp/life/index2.php?id=6556,https://www.city.tsuyama.lg.jp
鏡野町,鏡野町統合型GIS,http://www.gis.pref.okayama.jp/kagamino/Portal,http://www.gis.pref.okayama.jp
鏡野町,ハザードマップ,http://www.town.kagamino.lg.jp/?cat=241,http://www.town.kagamino.lg.jp
美咲町,美咲町防災マップ,https://www.town.misaki.okayama.jp/soshiki/jouhou/28.html,https://www.town.misaki.okayama.jp
久米南町,久米南町災害ハザードマップ,https://www.town.kumenan.lg.jp/living/bousai_bouhan/bousai/hazardmap.html,https://www.town.kumenan.lg.jp
真庭市,真庭市統合型GIS,http://www.gis.pref.okayama.jp/maniwa-sp/,http://www.gis.pref.okayama.jp
真庭市,真庭市防災マップ,https://www.city.maniwa.lg.jp/soshiki/2/41431.html,https://www.city.maniwa.lg.jp
新庄村,防災マップ,http://www.vill.shinjo.okayama.jp/index.php?id=27,http://www.vill.shinjo.okayama.jp
美作市,防災マップ（洪水・土砂災害ハザードマップ）,http://www.city.mimasaka.lg.jp/soshiki/soumu/kikikanri/1462153723350.html,http://www.city.mimasaka.lg.jp
津山市,津山市防災ハザードマップ,https://www.city.tsuyama.lg.jp/life/index2.php?id=6556,https://www.city.tsuyama.lg.jp
勝央町,勝央町統合型GIS,http://www.gis.pref.okayama.jp/shoo-sp/,http://www.gis.pref.okayama.jp
勝央町,いざという時のために（防災・救急）,http://www.town.shoo.lg.jp/emergency/page33,http://www.town.shoo.lg.jp
奈義町,奈義町統合型GIS,http://www.gis.pref.okayama.jp/nagi/Portal,http://www.gis.pref.okayama.jp
奈義町,奈義町ハザードマップ,https://www.town.nagi.okayama.jp/gyousei/kurashi/bousai_shoubou/bousai/hazard_map.html,https://www.town.nagi.okayama.jp
西粟倉村,防災情報,http://www.vill.nishiawakura.okayama.jp/wp/%E9%98%B2%E7%81%BD%E6%83%85%E5%A0%B1/,http://www.vill.nishiawakura.okayama.jp
