Area,Sample Site,Sample URL,Domain
新潟県,県内の市町村合併地図,https://www.pref.niigata.lg.jp/sec/shichouson/1203958849744.html,https://www.pref.niigata.lg.jp
上越市,ハザードマップ,https://www.city.joetsu.niigata.jp/life/1/8/54/,https://www.city.joetsu.niigata.jp
糸魚川市,ハザードマップ,https://www.city.itoigawa.lg.jp/dd.aspx?menuid=1066,https://www.city.itoigawa.lg.jp
糸魚川市,eまっぷいといがわ,https://itoigawa.geogeo.jp/,https://itoigawa.geogeo.jp
妙高市,ハザードマップ,https://www.city.myoko.niigata.jp/life-info/disaster/hazard-map/,https://www.city.myoko.niigata.jp
妙高市,妙高市市民公開地理情報システム,http://myokomap.geogeo.jp/maps%3Fmode%3Dtheme%26lid%3D2%26mid%3D7,http://myokomap.geogeo.jp
妙高市,妙高マップ,https://www.myoko.tv/map,https://www.myoko.tv
長岡市,ハザードマップ,https://www.bousai.city.nagaoka.niigata.jp/hazard-map/flood.html,https://www.bousai.city.nagaoka.niigata.jp
長岡市,もっと地図を身近に～ながおか便利地図,http://www2.wagmap.jp/nagaoka/,http://www2.wagmap.jp
三条市,ガイドブック・ハザードマップなど,https://www.city.sanjo.niigata.jp/bosai_bohan/bosai/higoronosonae/gaidomappuhazzardmap/index.html,https://www.city.sanjo.niigata.jp
柏崎市,ハザードマップ・標高マップ,https://www.city.kashiwazaki.lg.jp/bosai_bohan_shobo/bosai/hazardmap_hyokomappu/index.html,https://www.city.kashiwazaki.lg.jp
柏崎市,まちナビ柏崎,https://kashiwazaki.maps.arcgis.com/apps/MapSeries/index.html?appid=aebf91433f50400fba2ec9eacdecd9f0,https://kashiwazaki.maps.arcgis.com
小千谷市,小千谷市土砂災害・洪水ハザードマップ,http://www.city.ojiya.niigata.jp/soshiki/kikikanri/ojiya-hazardmap.html,http://www.city.ojiya.niigata.jp
加茂市,ハザードマップ,https://www.city.kamo.niigata.jp/docs/36181.html,https://www.city.kamo.niigata.jp
十日町市,大雨に備えてハザードマップを確認しましょう,https://www.city.tokamachi.lg.jp/kurashi_tetsuzuki/bousai_anzen/saigai_bosaijoho/3596.html,https://www.city.tokamachi.lg.jp
十日町市,十日町市公開地理情報,http://map.city.tokamachi.lg.jp/maps?mode=theme&lid=0&mid=21,http://map.city.tokamachi.lg.jp
見附市,見附市豪雨災害対応ガイドブック,https://www.city.mitsuke.niigata.jp/7502.htm,https://www.city.mitsuke.niigata.jp
魚沼市,ハザードマップ,https://www.city.uonuma.niigata.jp/categories/navi/bouhan/bousai/hazard-map/,https://www.city.uonuma.niigata.jp
魚沼市,魚沼市地理情報システム,http://uonumagis.geogeo.jp/maps?mode=theme&lid=0&mid=10,http://uonumagis.geogeo.jp
南魚沼市,救急・防災,http://www.city.minamiuonuma.niigata.jp/kurashitetuduki/kyukyu/index.html,http://www.city.minamiuonuma.niigata.jp
南魚沼市,南魚沼市公開地理情報システム,http://map.city.minamiuonuma.niigata.jp/maps?mode=theme&lid=0&mid=4,http://map.city.minamiuonuma.niigata.jp
田上町,洪水・土砂災害ハザードマップ,http://www.town.tagami.niigata.jp/living/sa/2014-1028-1248-13.html,http://www.town.tagami.niigata.jp
出雲崎町,出雲崎町Web版災害ハザードマップ,https://www.town.izumozaki.niigata.jp/hazardmap/,https://www.town.izumozaki.niigata.jp
湯沢町,ハザードマップ,https://www.town.yuzawa.lg.jp/kurashinojoho/moshimonotokini/3160.html,https://www.town.yuzawa.lg.jp
津南町,危険区域・ハザードマップ,https://www.town.tsunan.niigata.jp/life/1/7/29/,https://www.town.tsunan.niigata.jp
刈羽村,洪水・土砂災害ハザードマップ(配布版・村全体),http://www.vill.kariwa.niigata.jp/www/info/detail.jsp?id=957,http://www.vill.kariwa.niigata.jp
新潟市,各種ハザードマップ,https://www.city.niigata.lg.jp/kurashi/bosai/hinanjo/kouzui_hinanchizu/kakusyumap/index.html,https://www.city.niigata.lg.jp
新潟市,新潟市地図情報サービス　にいがたeマップ,https://www.sonicweb-asp.jp/niigata/map?theme=th_7,https://www.sonicweb-asp.jp
新発田市,洪水・地震・津波 ハザードマップ,https://www.city.shibata.lg.jp/kurashi/iza/sonae/1008873/1008875.html,https://www.city.shibata.lg.jp
新発田市,新発田市市民公開地理情報システム,https://gisshibatamap.geogeo.jp/,https://gisshibatamap.geogeo.jp
村上市,村上市洪水・土砂災害ハザードマップ,https://www.city.murakami.lg.jp/site/bousai/bousai-map.html,https://www.city.murakami.lg.jp
村上市,越後村上・まち巡りマップ,https://www.mu-cci.or.jp/kankou/machimeguri/,https://www.mu-cci.or.jp
燕市,ハザードマップ,https://www.city.tsubame.niigata.jp/kurashi/bosai/3/hazard_map.html,https://www.city.tsubame.niigata.jp
五泉市,五泉市 洪水・土砂災害ハザードマップ,https://www.city.gosen.lg.jp/life_procedures/9_1/1/hazadomappu/4569.html,https://www.city.gosen.lg.jp
阿賀野市,ハザードマップ,https://www.city.agano.niigata.jp/kurashi_tetsuzuki/anzen_anshin/bosai/bosai/1/1/index.html,https://www.city.agano.niigata.jp
胎内市,改訂版・胎内市防災ガイドブック閲覧・ダウンロード,https://www.city.tainai.niigata.jp/kurashi/bosai/bosai/down.html,https://www.city.tainai.niigata.jp
胎内市,胎内市地理情報システム,http://webgis.city.tainai.lg.jp/,http://webgis.city.tainai.lg.jp
聖籠町,災害ハザードマップ,http://www.town.seiro.niigata.jp/kankyo/2020hazardmap.pdf,http://www.town.seiro.niigata.jp
弥彦村,弥彦村の災害関連情報,https://www.vill.yahiko.niigata.jp/prevention/,https://www.vill.yahiko.niigata.jp
阿賀町,消防・防災,https://www.town.aga.niigata.jp/kurashi_tetsuzuki/anzen_anshin/shobo_bosai/index.html,https://www.town.aga.niigata.jp
関川村,関川村洪水ハザードマップ,http://www.vill.sekikawa.niigata.jp/life/8/70/index.html,http://www.vill.sekikawa.niigata.jp
粟島浦村,暮らし・手続き,http://www.vill.awashimaura.lg.jp/information/life/,http://www.vill.awashimaura.lg.jp
粟島浦村,栗島ＭＡＰ,https://awa-isle.jp/map/,https://awa-isle.jp/map/
佐渡市,佐渡市ハザードマップ,https://www.city.sado.niigata.jp/site/bousai/17752.html,https://www.city.sado.niigata.jp
佐渡市,佐渡市地理情報,https://gis4web.city.sado.niigata.jp/javascript/,https://gis4web.city.sado.niigata.jp
