Area,Sample Site,Sample URL,Domain
宮崎県,県としての新たな「津波浸水想定」の設定について,https://www.pref.miyazaki.lg.jp/kiki-kikikanri/kurashi/bosai/page00150.html,https://www.pref.miyazaki.lg.jp
延岡市,延岡市津波ハザードマップ,https://www.city.nobeoka.miyazaki.jp/soshiki/15/3338.html,https://www.city.nobeoka.miyazaki.jp
日向市,新しいハザードマップが完成しました,http://www.hyugacity.jp/sp/display.php?cont=200524130730, http://www.hyugacity.jp
門川町,ハザードマップ（津波・洪水）,https://www.town.kadogawa.lg.jp/disaster/disaster_prevention/page001245.html,https://www.town.kadogawa.lg.jp
諸塚村,諸塚村ハザードマップについて,https://www.vill.morotsuka.miyazaki.jp/baza-domap/,https://www.vill.morotsuka.miyazaki.jp
椎葉村,椎葉村防災情報,https://www.vill.shiiba.miyazaki.jp/affair/d_prevention.php,https://www.vill.shiiba.miyazaki.jp
美郷町,美郷町ハザードマップ,https://gov.town.shimane-misato.lg.jp/kurasi/bosai/hazard_map/,https://gov.town.shimane-misato.lg.jp
高千穂町,ガイドブック・パンフレット,https://takachiho-kanko.info/guide/,https://takachiho-kanko.info
日之影町,高千穂町「防災マップ」,https://www.town-takachiho.jp/top/kurashi/anzen/2/865.html,https://www.town-takachiho.jp
五ヶ瀬町,五ヶ瀬町防災ハザードマップ,https://www.town.gokase.miyazaki.jp/kurashi/bousai/494.html,https://www.town.gokase.miyazaki.jp
宮崎市,宮崎市洪水ハザードマップが新しくなりました,https://www.city.miyazaki.miyazaki.jp/life/fire_department/hazard_map/1153.html,https://www.city.miyazaki.miyazaki.jp
西都市,防災・災害情報(西都市防災マップ),https://www.city.saito.lg.jp/kurashi/0111_1703310000000026.html,https://www.city.saito.lg.jp
国富町,防災情報 防災マップについて,http://www.town.kunitomi.miyazaki.jp/main/disaster/other_disaster/page000322.html,http://www.town.kunitomi.miyazaki.jp
綾町,綾町防災マップ,https://www.town.aya.miyazaki.jp/soshiki/soumuka/1138.html,https://www.town.aya.miyazaki.jp
高鍋町,ハザードマップ等について,http://www.town.takanabe.lg.jp/soshiki/somu/1/2/bousai/635.html,http://www.town.takanabe.lg.jp
新富町,災害に対する備え,https://www.town.shintomi.lg.jp/item/13295.htm,https://www.town.shintomi.lg.jp
西米良村,西米良村防災マップ,https://www.vill.nishimera.lg.jp/village/%E6%9C%AA%E5%88%86%E9%A1%9E/10004163,https://www.vill.nishimera.lg.jp
木城町,防災関連情報の提供について,http://www.town.kijo.lg.jp/somuzaisei/bousai/bousai_jouhouteikyou_R2.html,http://www.town.kijo.lg.jp
川南町,ハザードマップなど防災関連情報,https://www.town.kawaminami.miyazaki.jp/soshiki/2/1228.html,https://www.town.kawaminami.miyazaki.jp
都農町,都農町ハザードマップ,https://life-tsuno.jp/common/file/hazardmap.pdf,https://life-tsuno.jp
都城市,防災マップ,https://www.city.miyakonojo.miyazaki.jp/life/1/10/57/,https://www.city.miyakonojo.miyazaki.jp
小林市,小林地域マップ,http://map04.ecom-plat.jp/map/map/?cid=4&gid=572&mid=2271,http://map04.ecom-plat.jp
小林市,小林市総合防災マップ,http://cms.city.kobayashi.lg.jp/display.php?cont=140109084343,http://cms.city.kobayashi.lg.jp
えびの市,防災情報,https://www.city.ebino.lg.jp/display.php?cont=170124172940,https://www.city.ebino.lg.jp
三股町,三股町土砂災害・洪水ハザードマップが完成しました,https://www.town.mimata.lg.jp/contents/790.html,https://www.town.mimata.lg.jp
三股町,防災マップ,https://mimata-saigai.jp/map,https://mimata-saigai.jp
高原町,高原町災害ハザードマップ,https://www.town.takaharu.lg.jp/soshiki/7/1156.html,https://www.town.takaharu.lg.jp
日南市,日南市 防災マップ（ハザードマップ）について,https://www.city.nichinan.lg.jp/main/disaster/page014196.html,https://www.city.nichinan.lg.jp
串間市,ハザードマップ,https://www.city.kushima.lg.jp/main/safety/cat/cat4/,https://www.city.kushima.lg.jp
