Area,Sample Site,Sample URL,Domain
長崎県,長崎県総合防災GIS,https://www.pref.nagasaki.jp/sb/gis/index.php,https://www.pref.nagasaki.jp
長崎市,危険箇所マップ・災害情報,https://www.city.nagasaki.lg.jp/bousai/210002/index.html,https://www.city.nagasaki.lg.jp
時津町,防災マップ,https://www.town.togitsu.nagasaki.jp/soshikikarasagasu/somuka/anzen_anshin/bosai/1802.html,https://www.town.togitsu.nagasaki.jp
長与町,長与町防災ハザードマップ,https://webtown.nagayo.jp/bousai/kiji003377/index.html,https://webtown.nagayo.jp
佐世保市,させぼ街ナビ,https://www.machi-info.jp/machikado/sasebo_city/index.jsp?mode=55,https://www.machi-info.jp
佐世保市,ハザードマップ,https://www.city.sasebo.lg.jp/anzen/shobo/hazard-map/index.html,https://www.city.sasebo.lg.jp
平戸市,ハザードマップ,http://www.bousai.city.hirado.nagasaki.jp/approach/hazardmap.html,http://www.bousai.city.hirado.nagasaki.jp
松浦市,土砂災害ハザードマップ,https://www.city-matsuura.jp/top/soshikikarasagasu/bosaika/bosaigakari/1/4581.html,https://www.city-matsuura.jp
西海市,西海市地域別防災ハザードマップ,https://www.city.saikai.nagasaki.jp/kurashi/bosai/2/7/index.html,https://www.city.saikai.nagasaki.jp
佐々町,佐々町総合ハザードマップ,https://www.sazacho-nagasaki.jp/bousai/kiji0032544/index.html,https://www.sazacho-nagasaki.jp
小値賀町,防災計画,http://ojika.net/administration/bousai/,http://ojika.net
東彼杵町,各種防災マップ,https://www.town.higashisonogi.lg.jp/kurashi_tetsuzuki/bosai/2/index.html,https://www.town.higashisonogi.lg.jp
川棚町,アクセスマップ,https://www.kawatana.jp/kankou/access/index.html,https://www.kawatana.jp
川棚町,川棚町洪水・土砂災害ハザードマップ,https://www.kawatana.jp/cat01/c1-09/post_454/index.html,https://www.kawatana.jp
波佐見町,ハザードマップ,https://www.town.hasami.lg.jp/machi/kurashi/2/3/hazardmap/index.html,https://www.town.hasami.lg.jp
諫早市,土砂災害ハザードマップ,https://www.city.isahaya.nagasaki.jp/post42/17856.html,https://www.city.isahaya.nagasaki.jp
大村市,大村市防災マップ,https://www.city.omura.nagasaki.jp/bousai/kurashi/anzen/bosai/hazardmap/bousaimap.html,https://www.city.omura.nagasaki.jp
島原市,島原市防災マップ(ハザードマップ),https://www.city.shimabara.lg.jp/hpkiji/pub/List.aspx?c_id=3&class_set_id=1&class_id=613,https://www.city.shimabara.lg.jp
雲仙市,ハザードマップ,https://www.city.unzen.nagasaki.jp/bousai/list00410.html,https://www.city.unzen.nagasaki.jp
南島原市,南島原市防災マップ,https://www.city.minamishimabara.lg.jp/page1626.html,https://www.city.minamishimabara.lg.jp
五島市,五島市ハザードマップ,https://www.city.goto.nagasaki.jp/li/kurashi/150/030/010/index.html,https://www.city.goto.nagasaki.jp
佐世保市,ハザードマップ,https://www.city.sasebo.lg.jp/anzen/shobo/hazard-map/index.html,https://www.city.sasebo.lg.jp
新上五島町,新上五島全体MAP,https://shinkamigoto.com/tour/map/?wovn=ja,https://shinkamigoto.com
新上五島町,土砂災害ハザードマップを作成しました,https://official.shinkamigoto.net/goto_kurashi_full.php?eid=01367&r=1&wcid=i00001x3,https://official.shinkamigoto.net
壱岐市,壱岐市防災危険箇所マップ,http://www.city.iki.nagasaki.jp/soshiki/kiki_kanrika/bosai/1053.html,http://www.city.iki.nagasaki.jp
対馬市,防災情報,https://www.city.tsushima.nagasaki.jp/gyousei/soshiki/soumu/bousai/837.html,https://www.city.tsushima.nagasaki.jp
