Area,Sample Site,Sample URL,Domain
鹿児島県,土砂災害警戒区域等マップ,http://sabomap.pref.kagoshima.jp/kagoshima/,http://sabomap.pref.kagoshima.jp
鹿児島県,浸水想定区域図について,http://www.pref.kagoshima.jp/ah07/infra/kasen-sabo/suibo/shinsuisoutei.html,http://www.pref.kagoshima.jp
鹿児島市,かごしまiマップ,https://www2.wagmap.jp/kagoshima/Portal,https://www2.wagmap.jp
鹿児島市,防災マップ（鹿児島市防災ガイドマップ裏面）,https://www.city.kagoshima.lg.jp/kikikanri/kurashi/bosai/bosai/map/bousaimap.html,https://www.city.kagoshima.lg.jp
日置市,防災ハザードマップ,https://www.city.hioki.kagoshima.jp/bousai/kurashi/tetsuzuki/anzen/bosai/hazardmap.html,https://www.city.hioki.kagoshima.jp
いちき串木野市,防災ハザードマップ,http://www.city.ichikikushikino.lg.jp/machibou1/bosai/bosai/joho/hazard-map.html,http://www.city.ichikikushikino.lg.jp
三島村,防災,http://mishimamura.com/toumin/bousai/,http://mishimamura.com
十島村,防災情報,http://www.tokara.jp/life/bousai/#001,http://www.tokara.jp
枕崎市,防災マップ,https://www.city.makurazaki.lg.jp/site/bousai/60.html,https://www.city.makurazaki.lg.jp
指宿市,観光パンフレット,https://www.ibusuki.or.jp/info/pamphlet/,https://www.ibusuki.or.jp
指宿市,指宿市防災ハザードマップ,https://www.city.ibusuki.lg.jp/main/kyosei/page004526.html,https://www.city.ibusuki.lg.jp
南さつま市,南さつま市情報マップ,https://www2.wagmap.jp/minamisatsuma/Portal,https://www2.wagmap.jp
南さつま市,防災ハザードマップ（南さつま市情報マップ）,http://www.city.minamisatsuma.lg.jp/shimin/bosai-kotsu/bosai-map/e023545.html,http://www.city.minamisatsuma.lg.jp
南九州市,南九州市防災マップ,https://www.city.minamikyushu.lg.jp/koutsuu-bousai/anshin/bosai/bosai-map.html,https://www.city.minamikyushu.lg.jp
薩摩川内市,薩摩川内市 防災ホームページ,https://www.satsumasendai-bousai.jp/,https://www.satsumasendai-bousai.jp
阿久根市,防災マップ,https://www.city.akune.lg.jp/soshikikarasagasu/somuka/kikikanrigakari/4/3/1213.html,https://www.city.akune.lg.jp
出水市,出水市土砂災害等防災マップ,https://www.city.kagoshima-izumi.lg.jp/page/page_20096.html,https://www.city.kagoshima-izumi.lg.jp
さつま町,さつま町防災マップ,http://www.satsuma-net.jp/bousaimap/k_index.html,http://www.satsuma-net.jp
長島町,長島町防災マップ等,https://www.town.nagashima.lg.jp/livelihood/bousaimap/,https://www.town.nagashima.lg.jp
