Area,Title,URL,Domain
香川県,産地マップ,https://www.pref.kagawa.lg.jp/nouki/tisan/ajiwau/nousan.html,https://www.pref.kagawa.lg.jp
香川県,ハザード拡大地図,https://www.bousai-kagawa.jp/P_PUB_VF_kakudaiMap,https://www.bousai-kagawa.jp
高松市,高松市防災マップ,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/bosai_map/takamatsu_map/index.html,http://www.city.takamatsu.kagawa.jp
さぬき市,さぬき市洪水ハザードマップ,https://www.city.sanuki.kagawa.jp/life/safety/k_hazard,https://www.city.sanuki.kagawa.jp
東かがわ市,東かがわまるごとマップ,https://www.higashikagawa.jp/marugoto/map.html,https://www.higashikagawa.jp
東かがわ市,防災マップ,https://www.higashikagawa.jp/itwinfo/cl1000135/,https://www.higashikagawa.jp
土庄町,津波・土砂災害ハザードマップ,https://www.town.tonosho.kagawa.jp/gyosei/soshiki/somu/bousaisyoubou/bousai/2213.html,https://www.town.tonosho.kagawa.jp
小豆島町,防災関連マップ,https://www.town.shodoshima.lg.jp/gyousei/kakuka/somu/2_1/3/bousai_map.html,https://www.town.shodoshima.lg.jp
三木町,三木町ハザードマップ,https://www.town.miki.lg.jp/life/dtl.php?hdnKey=1312,https://www.town.miki.lg.jp
直島町,平成29年改定版ハザードマップ【日本語版】,https://www.town.naoshima.lg.jp/kurashi/kyukyu/cl1000007/i41.html,https://www.town.naoshima.lg.jp
丸亀市,丸亀市防災マップ（想定最大規模／洪水・土砂災害、津波・ため池）,https://www.city.marugame.lg.jp/hazard_map/,https://www.city.marugame.lg.jp
坂出市,洪水ハザードマップ（令和2年１０月作成）,https://www.city.sakaide.lg.jp/site/bousai/kouzuimap.html,https://www.city.sakaide.lg.jp
善通寺市,善通寺市防災ポータル,https://www.city.zentsuji.kagawa.jp/site/portal/bousai-hazardtotal.html,https://www.city.zentsuji.kagawa.jp
宇多津町,防災・ハザードマップ,https://www.town.utazu.lg.jp/kurashi/bousaibouhan/bosai/hazadomap/,https://www.town.utazu.lg.jp
綾川町,綾川町防災マップ,https://www.town.ayagawa.lg.jp/docs/2015051100027/,https://www.town.ayagawa.lg.jp
琴平町,琴平町観光マップ,https://www.kotohirakankou.jp/access/entry-87.html,https://www.kotohirakankou.jp
琴平町,琴平町総合ハザードマップ,https://www.town.kotohira.kagawa.jp/site/bousai/6354.html,https://www.town.kotohira.kagawa.jp
多度津町,防災のしおり（総合ハザードマップ）,https://www.town.tadotsu.kagawa.jp/itwinfo/i3624/,https://www.town.tadotsu.kagawa.jp
まんのう町,ハザードマップ,https://www.town.manno.lg.jp/kurashi/kurashi_guide/bosai_syobo/hazardmap/,https://www.town.manno.lg.jp
観音寺市,観光ガイドブック・ダウンロード,http://kanonji-kankou.jp/guide_book.html,http://kanonji-kankou.jp
観音寺市,観音寺市総合防災マップ（平成27年3月 発行）,https://www.city.kanonji.kagawa.jp/soshiki/4/1581.html,https://www.city.kanonji.kagawa.jp
三豊市,三豊市総合防災マップ（令和2年4月改訂）,https://www.city.mitoyo.lg.jp/kakuka/soumu/kiki/3/bousai2020/index.html,https://www.city.mitoyo.lg.jp
