Area,Title,URL,Domain
宮城県,宮城県地域マップ,https://www.pref.miyagi.jp/site/access/ken.html,https://www.pref.miyagi.jp
仙台市,ハザードマップ等（各種災害の危険予測地図）,http://www.city.sendai.jp/kikikanri/kurashi/anzen/saigaitaisaku/hazardmap/map.html,http://www.city.sendai.jp
仙台市,せんだいくらしのマップ,https://www2.wagmap.jp/sendaicity/Policies,https://www2.wagmap.jp
石巻市,ハザードマップ,https://www.city.ishinomaki.lg.jp/d0010/d0010/d0100/index.html,https://www.city.ishinomaki.lg.jp
石巻市,石巻まちづくりマップ,https://www2.wagmap.jp/ishinomaki/Portal,https://www2.wagmap.jp
塩竈市,防災マップ,https://www.city.shiogama.miyagi.jp/soshiki/9/2332.html,https://www2.wagmap.jp
塩竈市,観光マップ,https://kankoubussan.shiogama.miyagi.jp/tourism/map.php,https://kankoubussan.shiogama.miyagi.jp
気仙沼市,防災,https://www.kesennuma.miyagi.jp/li/life/010/030/index.html,https://www.kesennuma.miyagi.jp
白石市,白石市ハザードマップ,https://www.city.shiroishi.miyagi.jp/site/bousai/1083.html,
名取市,観光Map（観光スポットのご紹介）,https://www.city.natori.miyagi.jp/bunya/culture/node_31378/node_32790,https://www.city.natori.miyagi.jp
名取市,なとりマップ,https://www.sonicweb-asp.jp/natori/,https://www.sonicweb-asp.jp
角田市,防災マップ・避難所,https://www.city.kakuda.lg.jp/life/1/6/31/,https://www.city.kakuda.lg.jp
多賀城市,多賀城市防災マップ（指定避難所・一時避難場所）,https://www.city.tagajo.miyagi.jp/bosai/kurashi/bosai/bosai/shite.html#menu01,https://www.city.tagajo.miyagi.jp
岩沼市,岩沼市ハザードマップ,https://www.city.iwanuma.miyagi.jp/bosai/bosai-bohan/bosai/kouzuiHM.html,https://www.city.iwanuma.miyagi.jp
登米市,ハザードマップ,https://www.city.tome.miyagi.jp/kurashi/anzen/bosai/hazardmap/index.html,https://www.city.tome.miyagi.jp
栗原市,栗原市わが街ガイド,https://www2.wagmap.jp/kurihara/Portal,https://www2.wagmap.jp
栗原市,ハザードマップ,https://www.kuriharacity.jp/li/010/010/040/index.html,https://www.kuriharacity.jp
東松島市,防災,"https://www.city.higashimatsushima.miyagi.jp/index.cfm/17,13513,42,html",https://www.city.higashimatsushima.miyagi.jp
大崎市,おおさきわが街ガイド,https://www2.wagmap.jp/osaki/Agreement?IsPost=False&MapId=6&RequestPage=%2fosaki%2fPositionSelect%3fmid%3d6,https://www2.wagmap.jp
大崎市,大崎市洪水土砂災害ハザードマップ,https://www.city.osaki.miyagi.jp/shisei/soshikikarasagasu/somubu/bousaianzenka/2/7/3814.html,https://www.city.osaki.miyagi.jp
富谷市,富谷市洪水・土砂災害ハザードマップ,https://www.tomiya-city.miyagi.jp/kurashi/bousai/map/hazard1.html,https://www.tomiya-city.miyagi.jp
富谷市,富谷・黒川地区わがまちマップ,https://www2.wagmap.jp/kurokawa/Portal,https://www2.wagmap.jp
蔵王町,防災情報,https://www.town.zao.miyagi.jp/kurashi_guide/seikatsu_kankyo/bousai/bousai.html,https://www.town.zao.miyagi.jp
七ヶ宿町,防災,https://town.shichikashuku.miyagi.jp/life/bousai.html,https://town.shichikashuku.miyagi.jp
大河原町,防災マップ,https://www.town.ogawara.miyagi.jp/2249.htm,https://www.town.ogawara.miyagi.jp
村田町,いざというときに備えて,http://www.town.murata.miyagi.jp/kurashi/iza/index.html,http://www.town.murata.miyagi.jp
柴田町,防災マップ（ハザードマップ）,"https://www.town.shibata.miyagi.jp/index.cfm/75,40660,135,301,html",https://www.town.shibata.miyagi.jp
川崎町,川崎町防災マップ,"http://www.town.kawasaki.miyagi.jp/15,11470,95.html",http://www.town.kawasaki.miyagi.jp
川崎町,かわさきあそび,http://kawasaki-asobi.jp/,http://kawasaki-asobi.jp
丸森町,丸森町防災マップ,http://www.town.marumori.miyagi.jp/disaster/detail.php?content=55,http://www.town.marumori.miyagi.jp
亘理町,防災マップ,"http://www.town.watari.miyagi.jp/index.cfm/24,0,148,html",http://www.town.watari.miyagi.jp
山元町,ハザードマップを活用しよう,https://www.town.yamamoto.miyagi.jp/soshiki/1/14406.html,https://www.town.yamamoto.miyagi.jp
松島町,松島町防災マップ,"https://www.town.miyagi-matsushima.lg.jp/index.cfm/6,111,57,184,html",https://www.town.miyagi-matsushima.lg.jp
七ヶ浜町,お問い合わせ,https://www.shichigahama.com/benricho/otoiawase/bousai.html#keybousai2-020,https://www.shichigahama.com
利府町,利府町防災マップ,https://www.town.rifu.miyagi.jp/gyosei/moshimonotokiha/bosaimappu/2497.html,https://www.town.rifu.miyagi.jp
大和町,大和町防災ハザードマップ,https://www.town.taiwa.miyagi.jp/soshiki/soumu/10470.html,https://www.town.taiwa.miyagi.jp
大郷町,大郷町防災マップ,https://www.town.miyagi-osato.lg.jp/soshiki/soumu/bousai-map.html,https://www.town.miyagi-osato.lg.jp
大衡村,大衡村ハザードマップ,https://www.village.ohira.miyagi.jp/soshiki/3/1148.html,https://www.village.ohira.miyagi.jp
色麻町,【最新】色麻町防災ハザードマップ(令和2年3月),https://www.town.shikama.miyagi.jp/kurashi/bosai/1354.html,https://www.town.shikama.miyagi.jp
加美町,防災・災害に関する情報,https://www.town.kami.miyagi.jp/kurashi_tetsuzuki_ijuu/anzen_anshin/bosai/1022.html,https://www.town.kami.miyagi.jp
涌谷町,涌谷町防災マップ,http://www.town.wakuya.miyagi.jp/kurashi/bosai/bosai/kozui.html,http://www.town.wakuya.miyagi.jp
美里町,防災ハザードマップ,https://www.town.misato.miyagi.jp/17bousai/2020-0803-1842-33.html,https://www.town.misato.miyagi.jp
女川町,防災,https://www.town.onagawa.miyagi.jp/emer/bousai/05_03.html,https://www.town.onagawa.miyagi.jp
南三陸町,南三陸町防災マップ,"https://www.town.minamisanriku.miyagi.jp/index.cfm/30,9669,100,html",https://www.town.minamisanriku.miyagi.jp
