Area,Sample Site,Sample URL,Domain
福島県,県内市町村地図上検索,https://www.pref.fukushima.lg.jp/sec/01010d/koho-chizu.html,https://www.pref.fukushima.lg.jp
福島県,まち歩きマップ,https://www.tif.ne.jp/jp/sp/machi/,https://www.tif.ne.jp
福島市,災害を知る（過去の災害・ハザードマップ）,https://www.city.fukushima.fukushima.jp/bosai/bosaikiki/hazard/index.html,https://www.city.fukushima.fukushima.jp
福島市,ふくしまeマップ,https://www.sonicweb-asp.jp/fukushimacity/,https://www.sonicweb-asp.jp
二本松市,二本松市総合ハザードマップをご活用ください,https://www.city.nihonmatsu.lg.jp/page/page001923.html,https://www.city.nihonmatsu.lg.jp
伊達市,伊達市防災マップ,https://www.city.fukushima-date.lg.jp/soshiki/9/146.html,https://www.city.fukushima-date.lg.jp
本宮市,ハザードマップ,https://www.city.motomiya.lg.jp/soshiki/38/78.html,https://www.city.motomiya.lg.jp
桑折町,桑折町災害ハザードマップ,https://www.town.koori.fukushima.jp/soshiki/kankyo/9/3/2493.html,https://www.town.koori.fukushima.jp
国見町,国見町防災マップ,https://www.town.kunimi.fukushima.jp/soshiki/4/2107.html,https://www.town.kunimi.fukushima.jp
川俣町,川俣町防災マップについて,https://www.town.kawamata.lg.jp/site/kurashi-tetsuzuki/shouboukoutsuu-bousaimap.html,https://www.town.kawamata.lg.jp
大玉村,防災・災害,https://www.vill.otama.fukushima.jp/kurashi/bousai_saigai/,https://www.vill.otama.fukushima.jp
郡山市,郡山市洪水ハザードマップ,https://www.city.koriyama.lg.jp/soshikinogoannai/kensetsukotsubu/kasenka/gomu/2/23417.html,https://www.city.koriyama.lg.jp
須賀川市,災害に備える,https://www.city.sukagawa.fukushima.jp/kurashi/anshin/bosai/1001925/index.html,https://www.city.sukagawa.fukushima.jp
須賀川市,須賀川市地図情報システム,https://www.sonicweb-asp.jp/sukagawa/,https://www.sonicweb-asp.jp
田村市,市の防災マップを改定しました,https://www.city.tamura.lg.jp/soshiki/8/seikatu-bousai-map-00.html,https://www.city.tamura.lg.jp
鏡石町,防災・災害対策について,https://www.town.kagamiishi.fukushima.jp/kurashi/seikatu_bousai/bousai/000667.html,https://www.town.kagamiishi.fukushima.jp
天栄村,天栄村 防災マップ (Web版),https://www.vill.tenei.fukushima.jp/hazardmap/,https://www.vill.tenei.fukushima.jp
石川町,石川町ハザードマップ,https://www.pref.fukushima.lg.jp/sec/01220a/ishikawa-hazard-map-h2503.html,https://www.pref.fukushima.lg.jp
玉川村,玉川村防災マップ,https://www.vill.tamakawa.fukushima.jp/guide/admin/001759.php,https://www.vill.tamakawa.fukushima.jp
平田村,平田村防災マップ,https://www.vill.hirata.fukushima.jp/soshiki/1/1035.html,https://www.vill.hirata.fukushima.jp
浅川町,浅川町防災ハザードマップについて,http://www.town.asakawa.fukushima.jp/consultation/000064.html,http://www.town.asakawa.fukushima.jp
古殿町,ハザードマップ,https://www.town.furudono.fukushima.jp/if/2475,https://www.town.furudono.fukushima.jp
三春町,三春町防災ハザードマップ（土砂災害編）,https://www.town.miharu.fukushima.jp/soshiki/2/hazard-map.html,https://www.town.miharu.fukushima.jp
小野町,小野町地域防災計画と小野町防災ガイドブックについて,https://www.town.ono.fukushima.jp/soshiki/5/bousai.html,https://www.town.ono.fukushima.jp
棚倉町,棚倉町防災マップを活用しましょう,http://www.town.tanagura.fukushima.jp/sp/page/page000242.html,http://www.town.tanagura.fukushima.jp
矢祭町,矢祭町 防災ハザードマップ,http://www.town.yamatsuri.fukushima.jp/page/page000431.html,http://www.town.yamatsuri.fukushima.jp
塙町,塙町防災マップ,http://www.town.hanawa.fukushima.jp/page/page000199.html,http://www.town.hanawa.fukushima.jp
鮫川村,鮫川村防災関連ハザードマップ,https://www.vill.samegawa.fukushima.jp/sp/page/page000658.html,https://www.vill.samegawa.fukushima.jp
西郷村,ハザードマップ,https://www.vill.nishigo.fukushima.jp/soshiki/bosaika/bosai_saigai/497.html,https://www.vill.nishigo.fukushima.jp
泉崎村,防災マップを更新しました,https://www.vill.izumizaki.fukushima.jp/page/page001281.html,https://www.vill.izumizaki.fukushima.jp
中島村,中島村ハザードマップ・避難所について,http://www.vill-nakajima.jp/page/dir000853.html,http://www.vill-nakajima.jp
矢吹町,矢吹町防災マップ,http://www.town.yabuki.fukushima.jp/page/page003076.html,http://www.town.yabuki.fukushima.jp
相馬市,ハザードマップ,https://www.city.soma.fukushima.jp/bosai_anzen/saigainisonaete/hazard_map/index.html,https://www.city.soma.fukushima.jp
相馬市,相馬市地図情報,http://www2.wagmap.jp/soma/Portal,http://www2.wagmap.jp
南相馬市,避難所・ハザードマップ,https://www.city.minamisoma.lg.jp/portal/sections/12/1250/12501/bosai/hinanjo/index.html,https://www.city.minamisoma.lg.jp
南相馬市,観光マップ,https://www.city.minamisoma.lg.jp/tourist/tourist_attractions/map/index.html,https://www.city.minamisoma.lg.jp
いわき市,防災マップ・ハザードマップ,http://www.city.iwaki.lg.jp/www/genre/1534907391781/index.html,http://www.city.iwaki.lg.jp
いわき市,いわきiマップ,https://www.sonicweb-asp.jp/g-iwaki/,https://www.sonicweb-asp.jp
新地町,新地町防災マップ,https://www.shinchi-town.jp/soshiki/1/bousaimap.html,https://www.shinchi-town.jp
飯舘村,農業用ため池ハザードマップ,https://www.vill.iitate.fukushima.jp/soshiki/3/4390.html,https://www.vill.iitate.fukushima.jp
浪江町,浪江町防災ハザードマップ(令和2年4月改訂),https://www.town.namie.fukushima.jp/soshiki/1/18908.html,https://www.town.namie.fukushima.jp
浪江町,わが街ガイド浪江,https://www2.wagmap.jp/namie/Portal,https://www2.wagmap.jp
双葉町,ハザードマップ,https://www.town.fukushima-futaba.lg.jp/9360.htm,https://www.town.fukushima-futaba.lg.jp
大熊町,防災・安全,https://www.town.okuma.fukushima.jp/life/2/10/index-2.html,https://www.town.okuma.fukushima.jp
富岡町,防災パンフレット（令和2年3月版）,https://www.tomioka-town.jp/soshiki/seikatsu_kankyo/shobokoutsu/oshirase/3056.html,https://www.tomioka-town.jp
楢葉町,防災マップ（ハザードマップ）・総合防災ガイド,https://www.town.naraha.lg.jp/saigai/001862.html,https://www.town.naraha.lg.jp
楢葉町,ならは散策マップ,https://narahamirai.com/togonaraha/map/,https://narahamirai.com
広野町,広野町防災マップ,https://www.town.hirono.fukushima.jp/fukushikankyo/bousai_map.html,https://www.town.hirono.fukushima.jp
葛尾村,葛尾村土砂災害ハザードマップについて,https://www.katsurao.org/soshiki/2/haza-domappu.html,https://www.katsurao.org
川内村,防災マップ,http://www.kawauchimura.jp/page/page000573.html,http://www.kawauchimura.jp
会津若松市,家庭用防災カルテ・ハザードマップ,https://www.city.aizuwakamatsu.fukushima.jp/docs/2009031200029/,https://www.city.aizuwakamatsu.fukushima.jp
会津若松市,パンフレットダウンロード,https://www.aizukanko.com/pamphlet,https://www.aizukanko.com
喜多方市,喜多方市ハザードマップ,https://www.city.kitakata.fukushima.jp/soshiki/seikatsu/7858.html,https://www.city.kitakata.fukushima.jp
喜多方市,パンフ・マップ等,http://www.kitakata-kanko.jp/guidebook/,http://www.kitakata-kanko.jp
南会津町,防災ハザードマップ,https://www.town.minamiaizu.lg.jp/official/soshikikarasagasu/juminseikatsuka/anzen_anshin/1/hazardmap.html,https://www.town.minamiaizu.lg.jp
下郷町,防災マップ,https://www.town.shimogo.fukushima.jp/organization/choumin/3/3/518.html,https://www.town.shimogo.fukushima.jp
檜枝岐村,観光マップ,http://www.oze-info.jp/map/,http://www.oze-info.jp
只見町,洪水・土砂災害ハザードマップ,https://www.town.tadami.lg.jp/disaster_prevention/map/,https://www.town.tadami.lg.jp
北塩原村,北塩原村総合防災マップ,https://www.vill.kitashiobara.fukushima.jp/docs/2021041500043/,https://www.vill.kitashiobara.fukushima.jp/
西会津町,西会津町防災ハザードマップ,https://www.town.nishiaizu.fukushima.jp/soshiki/3/5395.html,https://www.town.nishiaizu.fukushima.jp
磐梯町,防災マップ（火山・土砂災害・河川氾濫）,https://www.town.bandai.fukushima.jp/soshiki/soumu/bosaimap.html,https://www.town.bandai.fukushima.jp
猪苗代町,ハザードマップ,https://www.town.inawashiro.fukushima.jp/cb/hpc/Category-203.html,https://www.town.inawashiro.fukushima.jp
会津坂下町,会津坂下町ため池ハザードマップについて,https://www.town.aizubange.fukushima.jp/soshiki/29/7557.html,https://www.town.aizubange.fukushima.jp
湯川村,防災関係各種資料,https://www.vill.yugawa.fukushima.jp/soumu/bousai_shiryo.html,https://www.vill.yugawa.fukushima.jp
柳津町,柳津町防災マップ,https://www.town.yanaizu.fukushima.jp/docs/2018041800013/,https://www.town.yanaizu.fukushima.jp
会津美里町,会津美里町　ハザードマップ,https://www.town.aizumisato.fukushima.jp/s012/020/010/040/hazardmap_p1-p15..pdf,https://www.town.aizumisato.fukushima.jp
三島町,三島町防災マップを公表します。,http://www.town.mishima.fukushima.jp/soumuka/48589,http://www.town.mishima.fukushima.jp
金山町,ハザードマップ,https://www.town.kaneyama.yamagata.jp/machinososhiki/chominzeimuka/kurashianzenkakari/2/1/1/index.html,https://www.town.kaneyama.yamagata.jp
昭和村,災害時の避難場所と防災マップ,https://www.vill.showa.gunma.jp/kurashi/kurashi/bousai/2017-0223-1957-29.html,https://www.vill.showa.gunma.jp
昭和村,地図から探すフォトスポット,https://www.vill.showa.gunma.jp/kurashi/kankou/kankou/catetemp4/2018-0615-0952-12.html,
