Area,Sample Site,Sample URL,Domain
埼玉県,埼玉県地震被害想定調査被害分布,http://bousai.pref.saitama.lg.jp/,http://bousai.pref.saitama.lg.jp
埼玉県,埼玉県埋蔵文化財情報公開ページ（埼玉県全域地図）,https://www.pref.saitama.lg.jp/isekimap/saitama_zeniki.html,https://www.pref.saitama.lg.jp
さいたま市,ハザードマップ・防災カルテ,https://www.city.saitama.jp/001/011/015/002/index.html,https://www.city.saitama.jp
さいたま市,さいたま市　地図情報,https://www.sonicweb-asp.jp/saitama_c/,https://www.sonicweb-asp.jp
川口市,ハザードマップ,https://www.city.kawaguchi.lg.jp/soshiki/01040/010/7/1/index.html,https://www.city.kawaguchi.lg.jp
川口市,かわぐち案内マップ,https://kawaguchi.geocloud.jp/webgis/?p=1,https://kawaguchi.geocloud.jp
蕨市,蕨市地震ハザードマップ（平成28年3月改定）,https://www.city.warabi.saitama.jp/kurashi/anzen/bousai/1000951.html,https://www.city.warabi.saitama.jp
戸田市,戸田市ハザードブック　「災害を『我が事』として考える本」,https://www.city.toda.saitama.jp/soshiki/121/kikikanri-hazard-book.html,https://www.city.toda.saitama.jp
戸田市,いいとだマップ,https://e-toda.kukanjoho.jp/,https://e-toda.kukanjoho.jp
上尾市,上尾市災害ハザードマップ,http://www.city.ageo.lg.jp/page/036112060611.html,http://www.city.ageo.lg.jp
上尾市,あげおガイドマップ　アピマップ,https://www2.wagmap.jp/ageocity-sp/,https://www2.wagmap.jp
桶川市,ハザードマップ、AED、防災情報,https://www.city.okegawa.lg.jp/kurashi/anshin_anzen/bousai/hazado/index.html,https://www.city.okegawa.lg.jp
北本市,北本市地震ハザードマップ,https://www.city.kitamoto.lg.jp/soshiki/shiminkeizai/kurashi/gyomu/g14/1419506327678.html,https://www.city.kitamoto.lg.jp
鴻巣市,鴻巣市防災マップPDF版,https://www.city.kounosu.saitama.jp/soshiki/kikikanri/1/gyomu/2/1449743671518.html,https://www.city.kounosu.saitama.jp
鴻巣市,こうのとりっぷ,https://www.sonicweb-asp.jp/konosu/,https://www.sonicweb-asp.jp
伊奈町,伊奈町防災マップについて,https://www.town.saitama-ina.lg.jp/0000000340.html,https://www.town.saitama-ina.lg.jp
朝霞市,防災・災害情報（ハザードマップなど）・消防・防犯,https://www.city.asaka.lg.jp/life/1/67/, https://www.city.asaka.lg.jp
新座市,新座市地震ハザードマップを作成しました,https://www.city.niiza.lg.jp/soshiki/17/zisin-hazardmap.html,https://www.city.niiza.lg.jp
志木市,志木市ハザードマップ,"https://www.city.shiki.lg.jp/index.cfm/37,103444,164,642,html",https://www.city.shiki.lg.jp
和光市,防災ガイド＆ハザードマップ、避難所一覧,http://www.city.wako.lg.jp/home/kurashi/bousai/_19053/_19048/sei_2_3_5.html,http://www.city.wako.lg.jp
和光市,和光市ガイドマップ,https://www2.wagmap.jp/wako-sp/,https://www2.wagmap.jp
富士見市,ハザードマップ,https://www.city.fujimi.saitama.jp/anzen_anshin/08bousai/sonae/hazardmap/index.html,https://www.city.fujimi.saitama.jp
ふじみ野市,ハザードマップ・避難所マップ,https://www.city.fujimino.saitama.jp/bosai_bohan/bosai/bosaijoho/hzmap/index.html,https://www.city.fujimino.saitama.jp
ふじみ野市,ふじみ野市ハザードマップ,https://www.bosai-hm-fujimino.jp/,https://www.bosai-hm-fujimino.jp
三芳町,地震ハザードマップ　Earthquake Hazard Map,https://www.town.saitama-miyoshi.lg.jp/bousai/bousai/hazard_map.html,https://www.town.saitama-miyoshi.lg.jp
