Area,Sample Site,Sample URL,Domain
東京都,都市計画情報等インターネット提供サービス,https://www2.wagmap.jp/tokyo_tokeizu/Portal,https://www2.wagmap.jp
千代田区,ハザードマップ,https://www.city.chiyoda.lg.jp/koho/kurashi/bosai/hazardmap/index.html,https://www.city.chiyoda.lg.jp
千代田区,観光マップ,https://visit-chiyoda.tokyo/guide_map/,https://visit-chiyoda.tokyo
中央区,中央区ハザードマップ・浸水実績図,https://www.city.chuo.lg.jp/smph/bosai/bosai/suigaisonae/kouzuihazard/kozui02.html,https://www.city.chuo.lg.jp
港区,ハザードマップ,https://www.city.minato.tokyo.jp/bousai/hazard_map/hazard_map.html,https://www.city.minato.tokyo.jp
新宿区,ハザードマップ（災害危険箇所図）,http://www.city.shinjuku.lg.jp/anzen/anshin00_100002.html,http://www.city.shinjuku.lg.jp
新宿区,新宿区みんなのGIS,https://www.sonicweb-asp.jp/shinjuku/,https://www.sonicweb-asp.jp
文京区,ハザードマップ・パンフレット等,https://www.city.bunkyo.lg.jp/bosai/bosai/bousai/Panfu.html,https://www.city.bunkyo.lg.jp
文京区,文京区都市計画図検索システム,https://www.sonicweb-asp.jp/bunkyo-youto/sp/?#scale=1875,https://www.sonicweb-asp.jp
台東区,ハザードマップ（水害・土砂災害）,https://www.city.taito.lg.jp/bosai/map/saigai/hazardmap.html,https://www.city.taito.lg.jp
台東区,たいとうマップ,https://www2.wagmap.jp/taito-sp/,https://www2.wagmap.jp
墨田区,墨田区水害ハザードマップと海抜表示版,https://www.city.sumida.lg.jp/anzen_anshin/bousai/suigai/kouzui_hm1.html,https://www.city.sumida.lg.jp
墨田区,観光マップ,https://visit-sumida.jp/map/,https://visit-sumida.jp
江東区,水害ハザードマップ（3種類）,https://www.city.koto.lg.jp/470601/20200701.html,https://www.city.koto.lg.jp
江東区,観光マップ・リーフレット,https://koto-kanko.jp/guide/map/,https://koto-kanko.jp
品川区,品川区防災地図（防災地図と各ハザードマップ）,https://www.city.shinagawa.tokyo.jp/PC/bosai/bosai-bosai/bosai-bosai-siryo/hpg000022947.html,https://www.city.shinagawa.tokyo.jp
品川区,しながわマップ,https://www2.wagmap.jp/shinagawa-sp/,https://www2.wagmap.jp
品川区,品川区統合地図情報提供サービス,https://www.sonicweb-asp.jp/shinagawa/map,https://www.sonicweb-asp.jp
目黒区,目黒区水害ハザードマップ,https://www.city.meguro.tokyo.jp/smph/kurashi/anzen/bosai/type/ooame/map.html,https://www.city.meguro.tokyo.jp
大田区,大田区ハザードマップ（震災編）,http://www.city.ota.tokyo.jp/seikatsu/chiiki/bousai/pamphlet/bousaichizu.html,http://www.city.ota.tokyo.jp
大田区,大田区マップ,https://www.city.ota.tokyo.jp/Gmaps/citymap_index.html,https://www.city.ota.tokyo.jp
世田谷区,マニュアル・マップ等の資料,https://www.city.setagaya.lg.jp/mokuji/kurashi/005/003/003/index.html,https://www.city.setagaya.lg.jp
世田谷区,せたがやiMap,"https://www.sonicweb-asp.jp/setagaya/sp/?scale=13542&pos=139.65241064,35.64742401",https://www.sonicweb-asp.jp
渋谷区,防災マニュアル・防災マップ,https://www.city.shibuya.tokyo.jp/anzen/bosai/bosai_manual_map/index.html,https://www.city.shibuya.tokyo.jp
中野区,中野区ハザードマップ,https://www.city.tokyo-nakano.lg.jp/dept/157700/d029325.html,https://www.city.tokyo-nakano.lg.jp
杉並区,ハザードマップ・地震被害シュミレーション,https://www.city.suginami.tokyo.jp/anzen/saigai/hazardmap/index.html,https://www.city.suginami.tokyo.jp
豊島区,ハザードマップ（水害・土砂災害）,http://www.city.kita.tokyo.jp/bosai/bosai/documents/documents/documents/hazardmap.html,http://www.city.kita.tokyo.jp
荒川区,荒川区防災地図,https://www.city.arakawa.tokyo.jp/a013/bousai/suigainisonaete/suigaimap.html,https://www.city.arakawa.tokyo.jp
板橋区,防災マップ・各種ハザードマップ,https://www.city.itabashi.tokyo.jp/bousai/bousai/map/index.html,https://www.city.itabashi.tokyo.jp
練馬区,練馬区水害ハザードマップ,https://www.city.nerima.tokyo.jp/kurashi/bosai/suigai/hazardmap.html,https://www.city.nerima.tokyo.jp
足立区,水害・洪水ハザードマップ,https://www.city.adachi.tokyo.jp/bosai/bosaisaigai/map/index.html,https://www.city.adachi.tokyo.jp
葛飾区,葛飾区水害ハザードマップ（令和2年発行）,https://www.city.katsushika.lg.jp/kurashi/1000063/1004031/1022522.html,https://www.city.katsushika.lg.jp
江戸川区,防災関連マップ,https://www.city.edogawa.tokyo.jp/bosaianzen/bosai/kanrenmap/index.html,https://www.city.edogawa.tokyo.jp
八王子市,ハザードマップ,https://www.city.hachioji.tokyo.jp/emergency/bousai/m12873/001/p005647.html,https://www.city.hachioji.tokyo.jp
立川市,ハザードマップ,https://www.city.tachikawa.lg.jp/bosai/bosai/hazard-map/index.html,https://www.city.tachikawa.lg.jp
武蔵野市,防災情報マップ及び浸水ハザードマップについて,http://www.city.musashino.lg.jp/kurashi_guide/anzen_anshin/bosai/1005950.html,http://www.city.musashino.lg.jp
三鷹市,三鷹市浸水ハザードマップ,https://www.city.mitaka.lg.jp/c_service/034/034182.html,https://www.city.mitaka.lg.jp
青梅市,青海市多摩川洪水ハザードマップ,https://www.city.ome.tokyo.jp/soshiki/11/1753.html,https://www.city.ome.tokyo.jp
府中市,ハザードマップ,https://www.city.fuchu.tokyo.jp/bosaibohan/saigai/hazard-map.html,https://www.city.fuchu.tokyo.jp
昭島市,昭島市洪水・土砂災害ハザードマップ,https://www.city.akishima.lg.jp/s019/010/010/030/100/20140911132941.html,https://www.city.akishima.lg.jp
調布市,調布地図,https://www.city.chofu.tokyo.jp/www/genre/0000000000000/1000000010221/index.html,https://www.city.chofu.tokyo.jp
町田市,町田市洪水ハザードマップ,https://www.city.machida.tokyo.jp/kurashi/bouhan/bousai/fuusuigai/kouzui.html,https://www.city.machida.tokyo.jp
小金井市,小金井市防災マップ,https://www.city.koganei.lg.jp/kurashi/472/bosai/bosaiservice/bousaimap.html,https://www.city.koganei.lg.jp
小平市,小平市ハザードマップ（浸水予想区域図・土砂災害警戒区域図）,http://www.city.kodaira.tokyo.jp/kurashi/012/012389.html,http://www.city.kodaira.tokyo.jp
日野市,防災マップ・洪水ハザードマップ・避難所,https://www.city.hino.lg.jp/kurashi/annzen/map/index.html,https://www.city.hino.lg.jp
東村山市,防災マップ,https://www.city.higashimurayama.tokyo.jp/kurashi/bosai/bosai/kankoubutsu/bousaiguidemap/page_download/bosai_map/index.html,https://www.city.higashimurayama.tokyo.jp
国分寺市,防水・ハザードマップ,https://www.city.kokubunji.tokyo.jp/kurashi/bousai/1014226/1002434.html,https://www.city.kokubunji.tokyo.jp
国立市,防災マップ、ハザードマップ,https://www.city.kunitachi.tokyo.jp/i/kurashi/emergency/disaster/1630903525189.html,https://www.city.kunitachi.tokyo.jp
福生市,防災マップ、多摩川洪水・内水ハザードマップ,https://www.city.fussa.tokyo.jp/life/disaster/prevention/1002826.html,https://www.city.fussa.tokyo.jp
狛江市,狛江市防災マップ、ハザードマップ、防災マップアプリ,"https://www.city.komae.tokyo.jp/index.cfm/42,62393,328,2045,html",https://www.city.komae.tokyo.jp
東大和市,浸水・土砂災害ハザードマップ,"https://www.city.higashiyamato.lg.jp/index.cfm/31,101932,333,540,html",https://www.city.higashiyamato.lg.jp
清瀬市,清瀬市防災マップ・洪水ハザードマップ,https://www.city.kiyose.lg.jp/kurashi/bousai_anzen/bousai_kiki/1003335/1003355.html,https://www.city.kiyose.lg.jp
東久留米市,防災マップ・洪水ハザードマップ・避難所運営マニュアル,https://www.city.higashikurume.lg.jp/kurashi/anzen/bousai/1003941.html,https://www.city.higashikurume.lg.jp
武蔵村山市,武蔵村山市浸水・土砂災害ハザードマップ,https://www.city.musashimurayama.lg.jp/kurashi/bousai/saigai/1008898.html,https://www.city.musashimurayama.lg.jp
多摩市,多摩市洪水・土砂災害ハザードマップ,https://www.city.tama.lg.jp/0000010855.html,https://www.city.tama.lg.jp
稲城市,いなぎ防災マップ,https://www.city.inagi.tokyo.jp//bousaihazard_map/index.html,https://www.city.inagi.tokyo.jp
羽村市,防災マップはむら・洪水ハザードマップ・土砂災害ハザードマップ,https://www.city.hamura.tokyo.jp/0000005369.html,https://www.city.hamura.tokyo.jp
あきる野市,あきる野市ハザードマップ（土砂災害・水害）について,https://www.city.akiruno.tokyo.jp/0000005322.html,https://www.city.akiruno.tokyo.jp
西東京市,西東京市浸水ハザードマップ,https://www.city.nishitokyo.lg.jp/kurasi/iza/bosai/fusuigai/hazard_map.html,https://www.city.nishitokyo.lg.jp
瑞穂町,瑞穂町ハザードマップを改定しました。,http://www.town.mizuho.tokyo.jp/kurashi/004/001/p001851.html,http://www.town.mizuho.tokyo.jp
日の出町,土砂災害ハザードマップ,https://www.town.hinode.tokyo.jp/sp/0000000602.html,https://www.town.hinode.tokyo.jp
檜原村,土砂災害ハザードマップ,https://www.vill.hinohara.tokyo.jp/0000000109.html,https://www.vill.hinohara.tokyo.jp
奥多摩町,土砂災害ハザードマップ,http://www.town.okutama.tokyo.jp/kurashi/bosai/bosai/dosha.html,http://www.town.okutama.tokyo.jp
大島町,大島町土砂災害ハザードマップについて（令和3年）,https://www.town.oshima.tokyo.jp/soshiki/bousai/hazardmap-r030520.html,https://www.town.oshima.tokyo.jp
利島村,防災・消防,https://www.toshimamura.org/disaster/disaster/disaster.html,https://www.toshimamura.org
新島村,新島村ハザードマップ及び避難所,https://www.niijima.com/bousai/bousai_map.html,https://www.niijima.com
神津島村,神津島村ハザードマップ,https://www.bousai.metro.tokyo.lg.jp/_res/projects/default_project/_page_/001/005/835/H30kyougikai/kouzu_n.pdf,https://www.bousai.metro.tokyo.lg.jp
三宅村,防災,https://www.vill.miyake.tokyo.jp/bousai/bousai/index.html,https://www.vill.miyake.tokyo.jp
御蔵島村,防災,http://www.mikurasima.jp/section/jumin/bosai.html,http://www.mikurasima.jp
八丈町,防災情報,https://www.town.hachijo.tokyo.jp/kakuka/soumu/bosai.html#hm,https://www.town.hachijo.tokyo.jp
青ヶ島村,青ヶ島村火山ハザードマップ,https://www.bousai.metro.tokyo.lg.jp/_res/projects/default_project/_page_/001/003/774/ao.pdf,https://www.bousai.metro.tokyo.lg.jp
小笠原村,防災,https://www.vill.ogasawara.tokyo.jp/soumu/bousai/,https://www.vill.ogasawara.tokyo.jp
