Area,Sample Site,Sample URL,Domain
神奈川県,e-かなマップ,https://www2.wagmap.jp/pref-kanagawa,https://www2.wagmap.jp
横浜市,横浜市行政地図情報提供システム,https://wwwm.city.yokohama.lg.jp,https://wwwm.city.yokohama.lg.jp
川崎市,ガイドマップかわさき,https://kawasaki.geocloud.jp,https://kawasaki.geocloud.jp
横須賀市,よこすか わが町ガイド,https://www2.wagmap.jp/,https://www2.wagmap.jp
鎌倉市,鎌倉市防災情報マップ 地図情報公開サービス,https://www2.wagmap.jp/kamakura-hazard,https://www2.wagmap.jp
鎌倉市,鎌倉観光公式ガイド,https://trip-kamakura.com,https://trip-kamakura.com
逗子市,逗子市津波ハザードマップ１,https://www.city.zushi.kanagawa.jp/global-image/units/115865/1-20190606075726.pdf,https://www.city.zushi.kanagawa.jp
三浦市,三浦市津波ハザードマップ 三崎地区表紙面,http://www.city.miura.kanagawa.jp/kikikanri/documents/tsunami-hazard-map_misaki_front_h30.pdf,http://www.city.miura.kanagawa.jp
葉山町,葉山町津波ハザードマップ 一色・下山口地区,https://www.town.hayama.lg.jp/material/files/group/7/tsunamiHM-A.jpg,https://www.town.hayama.lg.jp
相模原市,さがみはら防災マップ,https://www.arcgis.com/apps/webappviewer/index.html?id=e0f12e9ebfaa46b79f8c61e962fea2d0,https://www.arcgis.com
相模原市,土砂災害ハザードマップ,https://www.city.sagamihara.kanagawa.jp/kurashi/bousai/1008688/1013027/index.html,https://www.city.sagamihara.kanagawa.jp
厚木市,厚木市防災サイト,https://www.city.atsugi.kanagawa.jp/bousai/hazardmap/index.html,https://www.city.atsugi.kanagawa.jp
厚木市,厚木タウンマップ,https://www2.wagmap.jp/atsugi/Portal,https://www2.wagmap.jp
大和市,大和市防災マップ（ハザードマップ),http://www.city.yamato.lg.jp/web/bousai/map.html,http://www.city.yamato.lg.jp
大和市,大和市公開型地図情報サービス,https://www.machi-info.jp/machikado/yamato_city/info/index.html,https://www.machi-info.jp
海老名市,i-MAP わが街海老名ガイド,https://www2.wagmap.jp/ebina/Portal,https://www2.wagmap.jp
海老名市,海老名市防災ガイドブック（ハザードマップはこちらら）,http://www.bousai.city.ebina.kanagawa.jp/www/contents/1577182179792/index.html,http://www.bousai.city.ebina.kanagawa.jp
座間市,座間市防災ハザードマップ,https://www.city.zama.kanagawa.jp/www/contents/1613713435129/index.html,https://www.city.zama.kanagawa.jp
座間市,座間市わが街ガイド,https://www2.wagmap.jp/zama/Portal,https://www2.wagmap.jp
綾瀬市,あやせタウンガイド,https://www.city.ayase.kanagawa.jp/hp/page000016400/hpg000016320.htm,https://www.city.ayase.kanagawa.jp
愛川町,愛川町防災マップ,https://www.town.aikawa.kanagawa.jp/soshiki/kiki/kiki/info/1422277513018.html,https://www.town.aikawa.kanagawa.jp
清川村,清川村土砂災害・洪水ハザードマップについて,https://www.town.kiyokawa.kanagawa.jp/Administration/bosaianzen/906.html,https://www.town.kiyokawa.kanagawa.jp
平塚市,平塚市洪水ハザードマップ,http://www.city.hiratsuka.kanagawa.jp/common/200041749.pdf,http://www.city.hiratsuka.kanagawa.jp
平塚市,ひらつかわくわくマップ,https://webgis.alandis.jp/hiratsuka14/main.html,https://webgis.alandis.jp
藤沢市,ふじさわキュンマップ,https://webgis.alandis.jp/fujisawa14/portal/index.html,https://webgis.alandis.jp
藤沢市,ふじさわ防災ナビ～防災インフォメーション,http://bosaiinfo.city.fujisawa.kanagawa.jp/,http://bosaiinfo.city.fujisawa.kanagawa.jp
藤沢市,揺れやすさマップ,https://www.city.fujisawa.kanagawa.jp/bousai/bosai/bosai/hazardmap/jishin/documents/000359929.pdf,https://www.city.fujisawa.kanagawa.jp
茅ケ崎市,まっぷ de ちがさき,https://www2.wagmap.jp/chigasaki/Portal,https://www2.wagmap.jp
秦野市,はだのWEBマップ,http://webgis.alandis.jp/hadano14/portal/,http://webgis.alandis.jp
伊勢原市,いせはらWebMaps,https://www.city.isehara.kanagawa.jp/maps/index.html#13/35.408290/139.293766/&base=std&ls=std&disp=1&vs=c1j0h0k0l0u0t0z0r0s0m0f1&d=m,https://www.city.isehara.kanagawa.jp
伊勢原市,洪水・土砂災害ハザードマップ,https://www.city.isehara.kanagawa.jp/docs/2010061500041/file_contents/east.pdf,https://www.city.isehara.kanagawa.jp
寒川町,防災マップ(地図面),http://www.town.samukawa.kanagawa.jp/material/files/group/41/tizu.pdf,http://www.town.samukawa.kanagawa.jp
寒川町,e-マップさむかわ,http://www.town.samukawa.kanagawa.jp/section/~gis/index.html#5/35.362222/138.731389/&base=std&ls=std&disp=1&vs=c1j0l0u0f0,http://www.town.samukawa.kanagawa.jp
大磯町,津波浸水想定図（大磯町東部地区）,http://www.town.oiso.kanagawa.jp/material/files/group/4/toubu2.pdf,http://www.town.oiso.kanagawa.jp
二宮町,防災マップ（ハザードマップ）,http://www.town.ninomiya.kanagawa.jp/i/kurashi_tetsuduki/bosai_shobo_bohan/bosai/1444094455482.html,http://www.town.ninomiya.kanagawa.jp
小田原市,小田原市ハザードマップ等一覧,https://www.city.odawara.kanagawa.jp/field/disaster/disaster/allhazardmap.html,https://www.city.odawara.kanagawa.jp
小田原市,小田原市地理情報システム,https://www2.wagmap.jp/navi-odawara-sp/,https://www2.wagmap.jp
南足柄市,南足柄市地理情報システム,https://www2.wagmap.jp/minamiashigara-sp/,https://www2.wagmap.jp
中井町,中井町ハザードマップ・防災ガイドブック,https://www.town.nakai.kanagawa.jp/forms/info/info.aspx?info_id=8850,https://www.town.nakai.kanagawa.jp
大井町,大井町土砂災害・洪水ハザードマップ,https://www.town.oi.kanagawa.jp/soshiki/3/hazard-map.html,https://www.town.oi.kanagawa.jp
松田町,ハザードマップ,https://maptiler.jp/maps/?_gl=1*lgd10f*_ga*MTg3MjYxMjgxOC4xNjQyMDUxMzkw*_ga_K4SXYBF4HT*MTY0MjA1MTM4OS4xLjEuMTY0MjA1MTQwMC40OQ..&_ga=2.85271696.888731717.1642051391-1872612818.1642051390#streets//vector/3.87/137.48/38.66,https://maptiler.jp
山北町,山北町土砂災害・洪水ハザードマップ,http://www.town.yamakita.kanagawa.jp/0000005287.html,http://www.town.yamakita.kanagawa.jp
開成町,開成町洪水ハザードマップを更新しました,https://www.town.kaisei.kanagawa.jp/info/177,https://www.town.kaisei.kanagawa.jp
箱根町,令和3年度版土砂災害・洪水ハザードマップ,"http://www.town.hakone.kanagawa.jp/index.cfm/10,1183,46,163,html",http://www.town.hakone.kanagawa.jp
箱根町,はこぼうマップ,https://map.alt-cois.com/hakobo/index.htm,https://map.alt-cois.com
真鶴町,真鶴町土砂災害ハザードマップ,http://www.town.manazuru.kanagawa.jp/soshiki/soumubosai/bousai/1686.html,http://www.town.manazuru.kanagawa.jp
湯河原町,湯河原町土砂災害（土石流）ハザードマップ,https://www.town.yugawara.kanagawa.jp/global-image/units/78118/1-20160804191041.pdf?fbclid=IwAR0xnKggQ_K6yxjoVrD-WseeXmnyFNZQTvr7t7B564X4YUGqnlQAFER_Ywk,https://www.town.yugawara.kanagawa.jp
湯河原町,湯河原町地理情報システム,https://www2.wagmap.jp/yugawara-sp/MapPage?dtp=3&mpx=139.111355865625&mpy=35.14472464&flgInit=1&vpc=0,https://www2.wagmap.jp
