Area,Sample Site,Sample URL,Domain
群馬県,マッピングぐんま,https://www2.wagmap.jp/gunma-sp/,https://www2.wagmap.jp
前橋市,防災マップ等（ハザードマップ）,https://www.city.maebashi.gunma.jp/kurashi_tetsuzuki/7/6/4/index.html,https://www.city.maebashi.gunma.jp
前橋市,前橋市地図情報システム　さーちずまえばし,https://searchizu-maebashi.geocloud.jp/webgis/?p=1,https://searchizu-maebashi.geocloud.jp
前橋市,パンフレット,https://www.maebashi-cvb.com/pamphlet,https://www.maebashi-cvb.com
伊勢崎市,総合防災マップ,https://www.city.isesaki.lg.jp/kurashi/shobo/saigai/3973.html,https://www.city.isesaki.lg.jp
伊勢崎市,いせさきくわまっぷ　伊勢崎市地図情報システム,https://www2.wagmap.jp/isesaki/Portal,https://www2.wagmap.jp
伊勢崎市,早わかり伊勢崎市マップ,http://www.isesaki.ne.jp/kankoukyoukai/map_wide.html,http://www.isesaki.ne.jp
渋川市,洪水に関するハザードマップ,https://www.city.shibukawa.lg.jp/kurashi/bousai_syoubou_anzenansin/bousai/p006405.html,https://www.city.shibukawa.lg.jp
渋川市,しぶかわ情報マップ,https://www2.wagmap.jp/shibukawa/Portal,https://www2.wagmap.jp
榛東村,ハザードマップ,https://www.vill.shinto.gunma.jp/life/100085/000164/000170/index.html,https://www.vill.shinto.gunma.jp
吉岡町,災害ハザードマップ,https://www.town.yoshioka.gunma.jp/kurashi/bosai/hazardmap.html,https://www.town.yoshioka.gunma.jp
玉村町,玉村町総合防災マップが完成しました,https://www.town.tamamura.lg.jp/docs/2018042000030/,https://www.town.tamamura.lg.jp
高崎市,高崎市ハザードマップ,http://www.city.takasaki.gunma.jp/docs/2013121700108/,http://www.city.takasaki.gunma.jp
高崎市,まっぷdeたかさき,https://www.sonicweb-asp.jp/takasaki/map,https://www.sonicweb-asp.jp
藤岡市,藤岡市ハザードマップ,https://www.city.fujioka.gunma.jp/soshiki/somubu/chiikianzen/1/3/990.html,https://www.city.fujioka.gunma.jp
富岡市,富岡市防災マップ,https://www.city.tomioka.lg.jp/www/contents/1558658747846/index.html,https://www.city.tomioka.lg.jp
富岡市,とみおかWebまっぷ,https://www2.wagmap.jp/tomioka-sp/,https://www2.wagmap.jp
安中市,安中市災害対応ガイドブック（令和3年5月版）,https://www.city.annaka.lg.jp/saigai_byouki_kinkyuji/2014-0602-1001-27.html,https://www.city.annaka.lg.jp
上野村,上野村防災マップ,http://www.uenomura.jp/admin/life/map/index.html,http://www.uenomura.jp
神流町,防災,http://town.kanna.gunma.jp/index.php?page_id=248,http://town.kanna.gunma.jp
下仁田町,下仁田町防災マップ,https://www.town.shimonita.lg.jp/soumu/m02/m02/20180821160358.html,https://www.town.shimonita.lg.jp
南牧村,南牧村防災ハザードマップ,http://www.nanmoku.ne.jp/modules/life/index.php?content_id=30,http://www.nanmoku.ne.jp
甘楽町,甘楽町防災マップ,https://www.town.kanra.lg.jp/soumu/syomu/news/20130529110249.html,https://www.town.kanra.lg.jp
沼田市,沼田市防災マップ,https://www.city.numata.gunma.jp/life/anzen/sonaeru/1002135.html,https://www.city.numata.gunma.jp
沼田市,パンフレット,https://numata-kankou.jp/brochure/index.html,https://numata-kankou.jp
長野原町,ハザードマップについて,https://www.town.naganohara.gunma.jp/www/contents/1582674548542/index.html,https://www.town.naganohara.gunma.jp
嬬恋村,嬬恋村災害対応ガイドブック,https://www.vill.tsumagoi.gunma.jp/kurashi/bousai/2016-0616-2005-12.html,https://www.vill.tsumagoi.gunma.jp
嬬恋村,パンフレット,https://www.vill.tsumagoi.gunma.jp/kankou/pamphlet/,https://www.vill.tsumagoi.gunma.jp
草津町,土砂災害警戒区域について,https://www.town.kusatsu.gunma.jp/www/contents/1501836002159/index.html,https://www.town.kusatsu.gunma.jp
高山村,高山村の防災情報,https://vill.takayama.gunma.jp/01soumu/bousai/bosai-guide.html,https://vill.takayama.gunma.jp
東吾妻町,土砂災害警戒区域等の指定,http://www1.town.higashiagatsuma.gunma.jp/www/contents/1410247063178/index.html,http://www1.town.higashiagatsuma.gunma.jp
片品村,防災マップ,https://www.vill.katashina.gunma.jp/gaiyou/kakuka/soumu/syomu/bousai/files/bousai-map.pdf,https://www.vill.katashina.gunma.jp
川場村,ハザードマップ,https://www.vill.kawaba.gunma.jp/kurashi/tetsuzuki/anshin/hazard.html,https://www.vill.kawaba.gunma.jp
川場村,川場「イイとこ」マップ,http://www.kawabakankou.gunma.jp/iitoko/,http://www.kawabakankou.gunma.jp
昭和村,災害時の避難場所と防災マップ,https://www.vill.showa.gunma.jp/kurashi/kurashi/bousai/2017-0223-1957-29.html,https://www.vill.showa.gunma.jp
みなかみ町,みなかみ町ハザードマップ,https://www.town.minakami.gunma.jp/politics/10bousai/2016-1012-1540-12.html,https://www.town.minakami.gunma.jp
みなかみ町,みなかみパーフェクトガイド,http://www.enjoy-minakami.jp/,http://www.enjoy-minakami.jp
桐生市,各種ハザードマップ,https://www.city.kiryu.lg.jp/anzen/bousai/hazard/index.html,https://www.city.kiryu.lg.jp
太田市,太田市防災マップ（ハザードマップ）,https://www.city.ota.gunma.jp/005gyosei/0050-004shimin-bouisai/2013-0819-1704-39.html,https://www.city.ota.gunma.jp
館林市,ハザードマップ,https://www.city.tatebayashi.gunma.jp/li/anzen/020/030/index.html,https://www.city.tatebayashi.gunma.jp
みどり市,洪水・土砂災害ハザードマップを作成しました,https://www.city.midori.gunma.jp/www/contents/1564618189112/index.html,https://www.city.midori.gunma.jp
みどり市,みどり市観光ガイド,https://16106midori.jp/,https://16106midori.jp
明和町,明和町総合防災マップ,https://www.town.meiwa.gunma.jp/life/soshiki/somu/9/2/3/1637.html,https://www.town.meiwa.gunma.jp
千代田町,千代田町防災マップ（洪水ハザードマップを含む）,https://www.town.chiyoda.gunma.jp/soumu/bousai/bousai004.html,https://www.town.chiyoda.gunma.jp
大泉町,大泉町総合防災マップ,https://www.town.oizumi.gunma.jp/s004/anzen/060/170/20200828141906.html,https://www.town.oizumi.gunma.jp
邑楽町,邑楽町防災マップ,https://www.town.ora.gunma.jp/s019/010/050/030/hazardmap.html,https://www.town.ora.gunma.jp
邑楽町,わが町ガイドおうら,https://www2.wagmap.jp/ora/Portal,https://www2.wagmap.jp
